name, address,number,Availability,BGroup
General Hospital and GMERS Medical College Blood Bank,"Blood Bank, GMERS Medical College and General Hospital, 
Halar Road, Valsad","02632 251744, 02632 251911",NO,B-
Valsad Raktdan Kendra,"Shirin and Jamshed Gulzar Regional Blood Centre,
Valsad Raktdan Kendra (A Voluntary Blood Bank and Research Centre), RNC Free Eye Hospital Compound,
Opp. Mamlatdar Office, Valsad","02632 242944, 02632 253650                 ",YES,B-
"Nukem Blood Bank, Vapi","Nukem Blood Bank and Haria Rotary Hospital, 
Plot No. 363 A- 364, G.I.D.C., Vapi, Valsad","0260 2430654, 0260 2400053, 0260 6638888",YES,B-
Smt. Puriben Popat Lakha Blood Bank,"Blood Bank, Smt. Puriben  Popat  Lakha Lions Blood Bank sanchalak Lions Club of Vapi Udyognagar Charitable Trust,
Plot No : 366/A, Prashant Park, Near Jain Tample, G.I.D.C, 
Vapi, Valsad","0260 2434600, 0260 2434601",YES,B-
Military Hospital Blood Bank Ambala,"Blood Bank, Military Hosptial, Ambala Cantt.",0171 2626557 ,,B-
MM Institute of Medical Sciences and Research Blood Bank,Mulana,01731 304581,YES,B-
Sanjeevani Blood Bank,"111, Near Railway Road, Sadar Bazar, Ambala Cantt.",0171 4002002,NO,B-
General Hospital Blood Bank Ambala City ,"Civil Hospital, Ground Floor, Near Polytechnic Chowk ","01712554455, 0171 2552908,",NO,B-
Philadelphia Mission Hospital Blood Bank,"Post box 40, Near RA Chowk, Ambala",0171 2553295,NO,B-
General Hospital Bhiwani Blood Bank ,"Bhiwani, Park Colony, Vijay Nagar, Bhiwani,",01664 253014,NO,B-
City Blood Bank,"Circular Road, Bhiwani",,,B-
Gold Field Hospital and Research Centre,"Village and post office Chhainsa, Ballabgarh, Faridabad.","0129 2209395, 0129 2209390 ",YES,B-
Badshah Khan General Hospital Blood Bank,"New Industrial Township, Faridabad",0129 2411881,YES,B-
Escorts Hospital and Research Center Limited Blood Bank,"Neelam Bata Road, NIT Faridabad.","0129 2466022, 0129 2466020",YES,B-
M/s Sunflag Hospital and Research Centre Blood Bank,"M/s Sunflag Hospital and Research Centre, Sector-16A,  Faridabad","0129 4199156, 0129 4199159",YES,B-
Sarvodaya Hospital and Research Centre,"YMCA Road, Sector-8, Near ESI Hospital, Faridabad",0129-4184444,YES,B-
QRG Central Hospital and Research Centre Blood Bank,"69, Delhi Mathura Road, Near Neelam Flyover, Ajronda Chowk, Sector 20 A,","0129 4090300 (Extn. 1956, 1958, 1962)",YES,B-
Sant Bhagat Singh Maharaj Ji Charitable Hospital Blood Bank,"No - 1697, K Block, NIT, Faridabad,
",0129 402 9070,YES,B-
Asian Institute of Medical Sciences Blood Bank,"Badkhal Flyover Road, Sector 21-A, Faridabad","0129 4253196, 01294253197",YES,B-
Metro Heart Institute with Multispecialty,"(A Unit of Metro Speciality Hospitals Private Limited) Sector 16A, Near Sunflag Hospital, Faridabad",0129 4277777,YES,B-
General Hospital Blood Bank Fatehabad,"District Blood Tranfusion Center, General Hospital 
Fatehabad",01667-222443,NO,B-
Jagdambe Blood Bank,"Aggarwal Hospital, Kali Mandir Road, Bhatia Nagar, Tohana, Near Ram Bhawan",01692 230692,YES,B-
Paras Health Care Private Limited Blood Bank,"C-1, Sushant Lok City, Phase I, Sector 43, Gurgaon",0124 4585555,YES,B-
Artemis Medicare Services Limited Blood Bank,"Artemis Hospital, Sector-51, Gurugram","0124-6767999,  0124 676 7000",YES,B-
Medanta The Medicity Hospital Blood Bank,"CH Baktawar Singh Road, Sector 38, Gurugram,",0124 4141414  Extn 2701,YES,B-
Alchemist Institute of Medical Sciences Blood Bank,"Alchemist Institute of Medical Sciences (A Unit of Alchemist Hospitals Limited) DLF Golf Course Road, Sector-53, Saraswati Kunj",0124 4511111,YES,B-
SGT Medical College Hospital and Research Institute Blood Bank ,"Near Sultanpur Bird Sanctuary, Village Budhera, Gurugram, ","0124-2278186,  0124 227 8256",YES,B-
Park Hospital Blood Bank,"Q Block, South City 2, Sohna Road, Main Sec-47, ","01244900037, 0124490038",YES,B-
Fortis Memorial Research Institute Blood Bank,"A unit of Fortis Hospitals Limited, Sector - 44, Opposite HUDA City Centre, Gurugram","0124 4962244, 0124 716 2200",YES,O+
Fortis Memorial Research Institute Blood Bank,"Fortis Memorial Research Institute, Sector-44, Opposite HUDA City Centre, Gurgaon","0124 4962251, 01247162200",YES,O+
"General Hospital Blood Bank, Gurugram","Near Bus Stand, Opposite MCG, Gurugram",0124 2310102,NO,O+
Umkal Blood Bank,"H-Block, Palam Vihar, Opposite To Chancellor Club
Near Chiranjiv Bharti Public school",0124-4777000,YES,O+
VPS Rockland Hospital Blood bank,"Plot No. 2, Sector 5, IMT Manesar, Gurugram
opposite Raheja square",1244755555,YES,O+
"Columbia Asia Hospital - Palam Vihar, Blood Bank","Block F, Gol Chakkar, Near Ansal Plaza Mall, Palam Vihar, ","0124 398 9896, 0124 616 5666",,O+
Paras Hospital Blood Bank,"C-1 Sushant Lok- 1 Sector-43 Phase- I
","0124-4585500, 0124-4585627",YES,O+
Nalwa Pathology and Microbiology Laboratory Blood Bank,"SCF-83, Commercial UE-1, Red Square market","01662-236218, 01662 230699",YES,O+
Central Medical Centre (CMC) Hospital Blood Bank,"Near Dabra Chowk Over Bridge, Hisar","01662 237476, 01662 232360",NO,O+
Haryana Blood Bank,"16, Model Town, NearJjindal Hospital ",0166 2221740,NO,O+
Manglam Blood Bank,"No 139, NH10-Tosham Road Connection Road, New Model Town, Jindal Hospital Road, ","01662 248767, 01662223367",YES,O+
Hisar Blood Bank,Hisar,01662 33291,,O+
Dr. Anant Ram Janta Hospital Blood Bank,"Hospital Road, Hisar, Barwala",0169 324 2096,NO,O+
"National Blood Bank, Kharab Hospital Blood Bank","47, Near Budhla Sant Mandir, Rishi nagar, ",01662 225900,YES,O+
Sarvodaya Blood Bank services,"Sravodaya Multi Speciality Hospital 
Opp. Red Cross Bhawan, Delhi Road, Hisar",0166 223 1031,YES,O+
General Hospital Blood Bank Hisar,"Civil Hospital Blood Bank, Near Bus Stand ",01662 275566,NO,O+
"Maharaja Agrasen Medical College, Agroha, Blood Bank",Opp. Agroha Dham,01669-281193/94 (Ext. 225),YES,O+
General Hospital Blood Bank Jhajjar,Model Town,01251 252410,NO,O+
General Hospital Blood Bank Jind,"Civil Hospital, DC Colony",01681 245454,NO,O+
National Blood Bank,"Kharab Hospital, Gohana Road, Jind",,,O+
Gangaputra Hospital and Research Centre Blood Bank,"Kaithal Road, Kandela",01681 237238,YES,O+
Smt. Indira Gandhi Government Multispeciality Blood Bank,"G. H. Sector-18, Bypass Road, Near bus stand, Kaithal By pass",,NO,O+
Haryana Institute of Medical Sciences (HIMS) Hospital Blood Bank,"NH-152, Village-Ujhana, Ambala Road, Kaithal",,,O+
Kapisthal Blood Bank,"Plot No. 11, Rishi Nagar, Kaithal
Karnal Road
","01746-234874, 01746 226874",NO,O+
General Hospital Blood Bank Karnal,"Old Court Road, Karnal",0184 2268899,YES,O+
Nirmal Institute of Medical Sciences and Technology Blood Bank,"69, Jarnally Colony, Opposite Kalpana Chawla Medical College, Karnal.","0184 2201999, 0184 2202999",YES,O+
Pandit Ram Prakash Hospital and Kidney Centre Blood Bank,"Civil Hospital Road, Karnal","0184 2252401, ",,O+
Save Life Blood Bank,"16, Jarnally Colony, 1st floor, Opposite to General Hospital, Karnal","0184 2207557, 0184 2207558",YES,O+
LNJP District Government Hospital Blood Bank ," Thanesar, Kurukshetra, SH-6, Kaithal Kurukshetra Road, ","0174 429 2716, 01744 293580, 01744 290344",NO,O+
Kurukshetra Blood Bank,"SCO.07-08 BASMENT,  Near LIC Building","01744 291914, 01744232010",YES,O+
Adesh Blood Bank,"NH - 1, Near Ambala Cantt., Village Mohri, TEHSIL. SHAHBAD (M)","01744-332000, 332001, 332002",,O+
Civil Hospital Narnaul ,"New Mohalla Mandi, Narnaul",01282-254288,NO,O+
General Hospital Blood Bank Mandikhera,"Mandikhera, Mewat",1268661022,NO,O+
Shaheed Hasan Khan Mewati Government Medical College Blood Bank  ,"Nalhar, Tehsil Nuh, Mewat",01267 282007,NO,O+
Diamond Blood Bank LLT,"Om premia Hospital, 56 km Stone,NH-2, Delhi Mathura Road, Palwal, Faridabad",01275 240240,YES,O+
General Hospital Blood Bank Palwal,New Sohna Road,01275 240099,NO,O+
Command Hospital Blood Bank,"Chandimandir Cantonment, Panchkula",,,O+
Alchemist Hospital Panchkula Blood Bank,"Sector 21, Panchkula","0172-7122960, 0172-7122967, 0172 7122966, 0172 7122967",YES,O+
District Hospital Panchkula Blood Bank,"Civil Hospital Blood Bank, Sector 6",0172 256 7228,NO,O+
N.C. Medical College and Hospital Blood Bank,"N.C. Medical College and Hospital, Panipat-Rohtak Road, Israna, Panipat",,,O+
Red Cross Blood Bank,"Indian Red Cross Society, Red Cross Bhawan, G.T. Road",0180 4002049,NO,O+
Prem Blood Bank,"A unit of Lala Harbhagwan Dass Memorial & Dr. Prem Hospital Pvt. Ltd., Bishan Sarop Colony, Opp Bus Stand, ","0180 2697191, 0180 2635900, 01804008431",YES,O+
Bharat Blood Bank,"467-D/4, West Press Colony, Near Bust Stand, Sukhdev Nagar", 0180 4019800,YES,O+
Panipat Blood Bank,"332-R Model Town, Near Ramlal Chowk","0180 4011150, 01802697887",NO,O+
Cygnus Maharaja Aggarsain Hospital Blood Bank,"Desraj Colony,Devi Mandir Area",,YES,O+
Rewari Blood Bank,"Shree Krishna Medical And Social Welfare Society, 53-RL, Model Town","01274 222607, 01274 222955",YES,O+
General Hospital Rewari Blood Bank,"Room No. 16, Government / Civil Hospital Blood Bank,  
Kayasthwara Mohalla, ","01274 253101,  01274 254 743",NO,O+
Bharti Blood Bank,Rewari,,,O+
Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences (PGIMS) Blood Bank,"Medical Road, Maharishi Dayanand University,
Rohtak","01262 211306, 01262 212306,  01262 281 304",YES,O+
General Hospital Blood Bank Sirsa,"Room No 25, G.H Sirsa, Near Jhunthra Dharmsala Sirsa","01666241155, 01666 240122",NO,O+
Shiv Shakti Blood Bank,"Guru Gobind Singh Marg, B Block,Opposite to Valmiki Chowk","01666 234735, 01666 234117 ",YES,O+
Bapu Maghar Singh Ji International Blood Bank,"Shah Satnam Singh Ji Speciality Hospital, 
Nohar Bhadra Road,Shahpur Begu, Near Shah Satnam Ji Dham, Dera Sacha Sauda","0166 6238687, 01666238659",YES,O+
Bapu Maghar singh ji,Sirsa,,,O+
General Hospital Blood Bank Sonipat,"Delhi Road, Near Maharana Pratap Chowk",0130 2231931,NO,O+
Sonipat Blood Bank,"Near Saxsena Hospital, Sector-14
TO Scheme No. -15",0130 2218999,NO,O+
Bhagat Phool Singh Government Medical College for Women Blood Bank,"Kanpur Kalan, Sonipat","01263 283041, 01263 283063",YES,O+
Shree MAA Blood Bank,"1st Floor, Goel Hospital, Jagadhri, Yamunanagar.
Opp Sapphire hotel, railway road, Near Krishna Bajaj auto agency",01732 646206,YES,O+
MLGH Trauma Centre Yamuna Nagar Blood Bank ,"Civil Hospital Blood Bank, Jagadhari, Above Trauma Center, 
Yamunanagar",0173 220 0106,YES,O+
Bilaspur Regional Hospital Blood bank,"Changer Sector Bilaspur, Near D.C.Office Bilaspur",1978221080,NO,O+
Chamba Regional Hospital Blood Bank ,"Regional Hospital, Chamba",01899 222210,NO,O+
Bhota Charitable Hospital Blood Bank,Hamirpur,01972 255096,NO,O+
Hamirpur Regional Hospital Blood bank," Agriculture Colony, Hamirpur,",01972 222223,NO,O+
 Dharamshala Zonal Hospital Blood Bank,"Zonal Hospital, Dharamshala",01892 227595,NO,O+
Dr Rajendra Prasad Government Medical College (RPGMC) Blood Bank Tanda,"Dr. Rajendra Prasad Government Medical College, Kangra at Tanda",1892267114,YES,O+
"Military Hospital,Yol Cant, Kangra","Yol Cantt, Kangra",,NO,O+
Civil Hospital Blood Bank Palampur,"Civil Hospital, Palampur, Kangra",01894 234101,NO,O+
Reckong Peo Regional Hospital Blood Bank ,"Reckong Peo, Kinnaur, Himachal Pradesh
",01786 222922,NO,O+
Kullu Regional Hospital Blood Bank ,"R.No. 320, Kullu Regional Hospital ",01902 224778,NO,O+
Netaji Subhash Chander Bose Zonal Hospital Blood Bank,"Netaji Subhash Chander Bose Zonal Hospital, Mandi",01905 222213,YES,O+
Rohru Civil Hospital Blood Bank ,"Rohru, Shimla",01781 240011,NO,O+
Indira Gandhi Medical College Blood Bank Shimla,"Department of BT and IH, Indira Gandhi Medical College, 
Near Lakkar Bazar",0177 2883440,YES,O+
Deen Dayal Updhayay Hospital Blood Bank,"DDU Complex, Shimla",0177 2658940,NO,O+
Kamla Nehru Hospital Blood Bank,"Kamla Nehru Hospital, NH-22, Near Mall Road",0177 2624081,NO,O+
Mahatma Gandhi Medical Services Blood Bank Rampur,"Mahatma Gandhi Medical Services Blood Bank Rampur,
Near Jakh Institute of Nursing",01782 233969,NO,O+
Nahan Regional Hospital Blood Bank ,"Regional Hospital, Nahan ",01702 223344,NO,O+
Malhotra Super Speciality Hospital Blood Bank ,"(A Unit of Malhotra Clinics Private Limited), SCO No. 8, Himuda Bhatoli Kalan, Opp.- Mahavir Spinning Mills, Baddi",01795 275009,YES,O+
Maharishi Markendeshwar Medical College and Hospital Blood Bank,"LADO, Sultanpur Road, Kumarhatti, Solan
",01792 395175,YES,O+
 Solan Regional Hospital Blood Bank,"Regional Hospital, Near Lakkar Bazar, Tank Road",01792 220159,NO,O+
Una Regional Hospital Blood Bank ,"Regional Hospital, Una",01975 226064,NO,O+
MMAB memorial District Hospital  Blood Bank Anantnag,"MMAB memorial Blood Bank, Janglat Mandi, District Hospital, Anantnag",01923 222170,NO,O+
Baramulla District Hospital Blood Bank,"District Hospital, Kanthbagh, Baramulla",01952 234203,NO,O+
Chodana Sub-District Hospital Blood Bank,"Sub-District Hospital, Chadoora, Budgam",01951 257236,NO,O+
Budgam District Hospital Blood Bank ,"ASYM District Hospital Campus, Near District Court Complex",1951255238,NO,O+
Doda District Hospital Blood Bank ,"District Hospital, Doda",01996 233689,NO,O+
District Hospital Blood Bank Ganderbal ,Ganderbal,0194 2416158,,O+
Government Hospital Blood Bank Gandhi Nagar,"Government Hospital, Gandhi Nagar, Jammu",0191 2430041 ,NO,O+
Government Medical College and Hospital Blood Bank,"Government Medical College and Hospital, Mahesh Pura Chowk, Bakshi Nagar","0191 2584290, 0191 2584291, 0191 2584292",NO,O+
Sri Maharaja Gulab Singh (SMGS) Hospital Blood Bank,"Shalamar Road, Indra Chowk, Jammu","0191 2547635, 0191 2547639",YES,O+
Bee Enn General Hospital Blood Bank,"Garden Avenue, Bhagwati Nagar, Talab Tillo, Jammu",1912555631,,O+
Sainik Asptal Blood Bank Satwari,"166, Military Hospital, C/o. 56 APO",0191 2456006,NO,O+
Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank,"Acharya Shri Chander College of Medical Sciences and Hospital, N.H ByPass P.O Majeen",0191 2662324,YES,O+
Kargil District Hospital (Kargil Ladakh Kashmir Division) Blood Bank ,"District Hospital, Kargil Ladakh Kashmir Division, Jammu and Kashmir",001985-232213,NO,O+
Kathua District Hospital Blood Bank ,"District Hospital, Kathua ",01922 234323,NO,O+
Kishtwar District Hospital Blood Bank  ,"District Hospital, Near Bus stand Kishtwar.",01995 261410,NO,O+
Kulgam District Hospital Blood Bank ,"Kulgam Quzigund Road, opposite to Fruit mandi Kulgam",01931 260398,NO,O+
Handwara District Hospital Blood Bank,"Handwara Hwy, Shaheen Colony, Durashpora, Handwara",01955 262054  ,NO,O+
General Hospital Blood Bank,"153, General Hospital, C/o. 56 APO, Leh Ladakh ",01982 254746,,O+
SNM Hospital Blood Bank,"SNM Hospital, Main Bazar, Leh",01982 252014,NO,O+
Raja Sukhdev Singh District Hospital Poonch,"District Hospital, Poonch","01965 220152, 01965 220656",NO,O+
Pulwama District Hospital Blood Bank ,"District Hospital, Pulwama",01933 241530,NO,O+
General Hospital Blood Bank (Army),"150, General Hospital, Rajouri",01962 263921 ,NO,O+
Rajouri District Hospital Blood Bank ,"District Hospital,  kheora, Rajouri
",01962 263209,NO,O+
Ramban District Hospital Blood Bank ,"NH1A, Upper Bazaar, Ramban,",01988 266908,NO,O+
District Hospital Blood Bank Sambha ,"District Hospital, Near Sabzi Mandi, Samba",9419118345,,O+
District Hospital Blood Bank Shopian ,Shopian,01933 261845,,O+
Shri Maharaja Hari Singh (SMHS) Hospital Blood Bank,"SMHS Road, Near Gold Market, Karan Nagar, Srinagar, ","0194 2504801, 0194 2504802 (Extn. 512) ",YES,O+
92 Base Hospital Blood Bank,"92 Base Hospital, C/o. 56 APO,  Badami Bagh, Srinagar",0194 24660009 (Extn. 6528),NO,O+
Sher-I-Kashmir Institute of Medical Sciences (SKIMS) Blood bank,"Sher-I-Kashmir Institute of Medical Sciences (SKIMS), 
Anchar, Soura, Srinagar",0194 2401013,YES,O+
 Government Lal Ded Hospital Blood Bank,"Wazirbagh, Srinagar GPO, Srinagar","0194 2313714, 0194 2313716",YES,O+
Government Bone and Joint Surgery Hospital Blood Bank,"Government Bone and Joint Surgery Hospital, Near Barzulla bridge, Srinagar",1942432135,NO,O+
Jawahar Lal Nehru Memorial Hospital Blood Bank,"Jawahar Lal Nehru Memorial Hospital Blood Bank, Rainwari, Srinagar",0194 2507099,NO,O+
Command Hospital Blood Bank ,"Command Hospital, Uttari Kaman, C/o Uttari Kaman, Udhampur",,,O+
Udhampur District Hospital Blood Bank ,"Udhampur  District Hospital, Near ITI collage",01992-270402,NO,O+
Indian Red Cross Society Blood Bank Bokaro,"IRCS, Blood bank, Pandit Jawahar lal Nehru Marg, Near Airport, Sector 1 B.S. City","06542 224555, 06542 288137",NO,O+
Bokaro General Hospital Blood Bank,"Blood Bank, Bokaro General Hospital, Sector - 4, Bokaro Steel City",6542289076,YES,O+
K.M. Memorial Hospital & Research Center Blood Bank,"Blood Bank, K.M. Memorial Hospital & Research Center, By Pass Road Chas Bokaro",0651 236188189,NO,O+
Deoghar Sadar Hospital Campus Blood Bank ,"Blood Bank, Sadar Hospital, Deoghar ",9431950386,NO,O+
Patliputra Medical college and Hospital (PMCH) Blood Bank Dhanbad,"PMCH, Saraidhela, Dhanbad, PO. BCCL Township",0326 2230301,NO,O+
Central Hospital Blood Bank BCCL Dhanbad,"Blood Bank, Central Hospital, BCCL, Dhanbad",9470595563,NO,O+
S. N. Chakraborty Memorial Chakraborty Nursing Home Blood Bank,"Debraj Complex, Dhansar, Dhanbad",0326 2303621,NO,O+
Dwarka Das Jalan Memorial Hospital Bartand Blood Bank ,"Blood Bank Dwarka Das Jalan Memorial Hospital Bartand, Dhanbad",3262313525,NO,O+
Dumka Sadar Hospital Blood Bank ,"Near Town Hall, Dumka",6434236298,NO,O+
MGM Medical College Hospital Campus Blood Bank Jamshedpur,"Sakchi, Jamshedpur",0657 2230092 ,NO,O+
Jamshedpur Blood Bank ,"Stocking Road, Northern Town. Bistupur",0657 2431957,YES,O+
Garhwa Sadar Hospital Campus Blood Bank ,"Blood Bank, Sadar Hospital Garhwa",06561 222005,NO,O+
Giridih Sadar Hospital Blood Bank ,"Blood Bank, Sadar Hospital Giridih",06532 250357,NO,O+
Gumla Sadar Hospital Blood Bank ,"Blood Bank, Sadar Hospital Gumla, Jharkhand",9534032306,NO,O+
Hazaribag Sadar Hospital Blood Bank ,"Blood Bank, Sadar Hospital Campus Hazaribag",06546 265289,NO,O+
TISCO West Bokaro Hospital Blood Bank ,"Blood Bank, TISCO West Bokaro Hospital, Ghatotand, Hazaribagh",06545 262356,NO,O+
Koderma Sadar Hospital Blood Bank ,"Blood Bank, Sadar Hospital Koderma",9334516895,NO,O+
Latehar Sadhar Hospital Blood Bank,"Sub-Divisional Hospital Blood Bank, Latehar",9835589186,NO,O+
Lohardaga Sadar Hospital Blood Bank ,"Blood Bank, Sadar Hospital Lohardagga",6526222235,NO,O+
Pakur Sadar Hospital Blood Bank ,,9934347811,NO,O+
Palamu Sadar Hospital Blood Bank ,"Daltonganj, palamau",06562 222677,NO,O+
CCL Hospital Blood Bank Ramgarh,"Blood Bank, CCL Hospital, Nai Sarai Ramgarh Cantt, Argada Road",06553 231755,NO,O+
Military Hospital Blood Bank Ramgarh,"Blood Bank, Military Hospital, Ramgarh Cantt, Ramgarh",06553 225055,NO,O+
Apurva Blood Bank Ramgarh,Apoorva Blood Bank Ramgarh,9304842607,NO,O+
"Heavy Engineering Corporation, Plant Hospital Blood Bank","Sector III, HEC Campus, Opposite JSCA Stadium, Ranchi",0651 2444336,NO,O+
"Rajendra Institute of Medical Science (RIMS) Blood Bank, Bariyatu","Bariatu, Ranchi, Jharkhand",6512540656,YES,O+
CCL Hospital Blood Bank Ranchi,"Central Hospital,CCL, Gandhi Nagar, Kanka Rd, Ranchi ","0651 2230355,ext 7059",NO,O+
Indian Red Cross Society (IRCS) Blood Bank Morabadi,"Morabadi, Near Hockey Stadium, Ranchi",07091494670-75,,O+
